Game Name,Release Date,Metascore,User Score,Meta/User Delta,VR Required?
ChromaGun VR,"Feb 19, 2019",64,5.9,0.5,"PlayStation VR Compatible, PlayStation VR Required"
Windlands,"Oct 25, 2016",63,7.1,-0.8,PlayStation VR Required
Stifled,"Oct 31, 2017",63,6.2,0.1,PlayStation VR Compatible
Salary Man Escape VR,"Jun 26, 2018",63,6.9,-0.6,"PlayStation VR Compatible, PlayStation VR Required"
Arizona Sunshine,"Jul5, 2017",63,6.6,-0.3,"PlayStation VR Compatible, PlayStation VR Required"
Jupiter & Mars,"Apr 22, 2019",63,5.3,1.0,PlayStation VR Compatible
Pop-Up Pilgrims,"Feb 13, 2018",63,tbd,0,PlayStation VR Required
Blind,"Sep 18, 2018",62,5.0,1.2,PlayStation VR Required
Monster of the Deep: Final Fantasy XV,"Nov 21, 2017",62,8.7,-2.5,PlayStation VR Required
Intruders: Hide and Seek,"Feb 13, 2019",62,6.6,-0.4,"PlayStation VR Compatible, PlayStation VR Required"
Here They Lie,"Oct 13, 2016",62,6.8,-0.6,PlayStation VR Required
Downward Spiral: Horus Station,"Sep 18, 2018",61,3.5,2.6,PlayStation VR Compatible
Island Time VR,"Apr3, 2018",61,4.5,1.6,PlayStation VR Compatible
EVE: Gunjack,"Oct 13, 2016",60,6.2,-0.2,PlayStation VR Required
The Inpatient,"Jan 23, 2018",59,6.1,-0.2,PlayStation VR Required
PlayStation VR WORLDS,"Oct 10, 2016",59,6.8,-0.9,PlayStation VR Required
Lethal VR,"Dec 20, 2016",56,4.9,0.7,PlayStation VR Required
100ft Robot Golf,"Sep 27, 2017",56,5.9,-0.3,PlayStation VR Compatible
Don't Knock Twice,"Sep5, 2017",56,5.6,0.0,PlayStation VR Compatible
SportsBarVR,"Oct 18, 2016",55,6.0,-0.5,PlayStation VR Required
Time Carnage,"Apr 10, 2018",54,3.7,1.7,PlayStation VR Compatible
The Assembly,"Oct 13, 2016",53,5.5,-0.2,PlayStation VR Required
Loading Human: Chapter 1,"Oct 13, 2016",53,6.5,-1.2,PlayStation VR Required
Eden-Tomorrow,"Feb 12, 2019",52,6.1,-0.9,PlayStation VR Required
Crisis on the Planet of the Apes VR,"Apr3, 2018",49,1.3,3.6,"Move Required, PlayStation VR Required"
Moto Racer 4,"Jan 24, 2017",49,5.4,-0.5,PlayStation VR Compatible
ARK Park,"Mar 22, 2018",46,4.5,0.1,"PlayStation VR Compatible, PlayStation VR Required"
Bravo Team,"Mar6, 2018",45,4.4,0.1,"PlayStation VR Compatible, PlayStation VR Required"
Harmonix Music VR,"Oct 10, 2016",44,6.2,-1.8,PlayStation VR Required
Surgeon Simulator: Experience Reality,"Dec3, 2016",43,4.1,0.2,PlayStation VR Required
Touhou Kobuto V: Burst Battle,"Oct 10, 2017",42,3.0,1.2,PlayStation VR Compatible
Gungrave VR,"Dec 11, 2018",41,3.6,0.5,PlayStation VR Required
Ace Banana,"Oct 13, 2016",40,4.3,-0.3,PlayStation VR Required
Dying: Reborn,"Feb 28, 2017",38,5.5,-1.7,PlayStation VR Compatible
Crystal Rift,"Nov 29, 2016",37,6.3,-2.6,PlayStation VR Compatible
Heavy Fire: Red Shadow,"Oct 16, 2018",36,2.9,0.7,PlayStation VR Compatible
